Stream,Course,Job,Skills Required,Duration,Post Graduation
Arts,BA in English,Political Analyst,"Artistic Talent, Fashion Design Techniques",5 years,MFA
Arts,BA in English,Content Writer,"Artistic Talent, Fashion Design Techniques",5 years,Fashion Design PG
Arts,BA in History,Sociologist,"Critical Thinking, Understanding of History and Culture",5 years,Journalism PG
Arts,Fashion Design,Historian,"Writing Skills, Ability to Craft Arguments",5 years,MA in Psychology
Arts,Fine Arts,Political Analyst,"Communication, Public Speaking",2 years,MA in Psychology
Arts,Fine Arts,Political Analyst,"Writing Skills, Ability to Craft Arguments",2 years,MA in History
Arts,BA in English,Fashion Designer,"Communication, Public Speaking",4 years,MA in Psychology
Arts,Fashion Design,Historian,"Artistic Talent, Fashion Design Techniques",2 years,MA in Psychology
Arts,BA in Psychology,Sociologist,"Communication, Public Speaking",5 years,MA in Political Science
Arts,BA in History,Fashion Designer,"Communication, Public Speaking",5 years,Fashion Design PG
Arts,Journalism,Fashion Designer,"Research, Knowledge of Political Theories",5 years,MA in Psychology
Arts,BA in English,Fashion Designer,"Research, Knowledge of Political Theories",3 years,MSW (Master of Social Work)
Arts,BA in Sociology,Fashion Designer,"Creativity, Design Skills",2 years,MSW (Master of Social Work)
Arts,BA in Psychology,Content Writer,"Research, Knowledge of Political Theories",5 years,MFA
Arts,BA in English,Political Analyst,"Creativity, Design Skills",3 years,MA in Sociology
Arts,BA in Political Science,Psychologist,"Research, Knowledge of Political Theories",5 years,MA in Psychology
Arts,BA in English,Fashion Designer,"Writing Skills, Ability to Craft Arguments",4 years,MA in Psychology
Arts,Fine Arts,Political Analyst,"Writing Skills, Ability to Craft Arguments",5 years,MA in Psychology
Arts,Fashion Design,Historian,"Writing Skills, Ability to Craft Arguments",2 years,MA in Sociology
Arts,BA in Political Science,Historian,"Research, Knowledge of Political Theories",2 years,MSW (Master of Social Work)
Arts,Fashion Design,Content Writer,"Artistic Talent, Fashion Design Techniques",4 years,Journalism PG
Arts,BA in Sociology,Journalist,"Writing Skills, Ability to Craft Arguments",3 years,MA in Political Science
Arts,BA in English,Content Writer,"Research, Knowledge of Political Theories",5 years,Journalism PG
Arts,Fashion Design,Content Writer,"Creativity, Design Skills",5 years,MSW (Master of Social Work)
Arts,BA in Political Science,Sociologist,"Creativity, Design Skills",3 years,MA in Political Science
Arts,BA in Political Science,Content Writer,"Research, Knowledge of Political Theories",2 years,MSW (Master of Social Work)
Arts,Fashion Design,Fashion Designer,"Research, Knowledge of Political Theories",4 years,MFA
Arts,BA in Political Science,Fashion Designer,"Critical Thinking, Understanding of History and Culture",5 years,MA in Psychology
Arts,Fashion Design,Content Writer,"Writing Skills, Ability to Craft Arguments",4 years,Journalism PG
Arts,BA in Political Science,Psychologist,"Writing Skills, Ability to Craft Arguments",4 years,MA in Psychology
Arts,BA in Psychology,Sociologist,"Creativity, Design Skills",2 years,MA in Political Science
Arts,Fine Arts,Sociologist,"Creativity, Design Skills",5 years,MSW (Master of Social Work)
