Stream,Course,Job,Skills Required,Duration,Post Graduation
Commerce,Company Secretary,Tax Consultant,"Mathematical Proficiency, Expertise in Taxation",5 years,PGDM
Commerce,Company Secretary,Financial Analyst,"Communication, Market Research Skills",3 years,MBA
Commerce,CA,Accountant,"Analytical Skills, Knowledge of Financial Accounting",3 years,M.Com
Commerce,Finance,Financial Analyst,"Communication, Market Research Skills",5 years,MBA
Commerce,Economics,Investment Banker,"Communication, Market Research Skills",5 years,CFA
Commerce,Economics,Accountant,"Mathematical Proficiency, Expertise in Taxation",2 years,CFA
Commerce,B.Com,Financial Analyst,"Analytical Skills, Knowledge of Financial Accounting",5 years,Financial Planning
Commerce,CA,Tax Consultant,"Business Acumen, Decision Making",4 years,CFA
Commerce,Business Management,Tax Consultant,"Financial Analysis, Risk Management",4 years,CFA
Commerce,Business Management,Accountant,"Mathematical Proficiency, Expertise in Taxation",2 years,CFA
Commerce,Company Secretary,Accountant,"Business Acumen, Decision Making",2 years,MBA
Commerce,Company Secretary,Tax Consultant,"Understanding of Corporate Law, Auditing Skills",4 years,Company Secretary (CS)
Commerce,Accountancy,Investment Banker,"Mathematical Proficiency, Expertise in Taxation",5 years,Financial Planning
Commerce,BBA,Investment Banker,"Understanding of Corporate Law, Auditing Skills",2 years,CFA
Commerce,CA,Auditor,"Understanding of Corporate Law, Auditing Skills",3 years,MBA
Commerce,Business Management,Banking Officer,"Analytical Skills, Knowledge of Financial Accounting",2 years,CA
Commerce,Finance,Financial Analyst,"Financial Analysis, Risk Management",4 years,M.Com
Commerce,CA,Investment Banker,"Business Acumen, Decision Making",2 years,Law
Commerce,B.Com,Financial Analyst,"Analytical Skills, Knowledge of Financial Accounting",2 years,M.Com
Commerce,Finance,Banking Officer,"Financial Analysis, Risk Management",2 years,Law
Commerce,Company Secretary,Banking Officer,"Business Acumen, Decision Making",2 years,M.Com
Commerce,CA,Investment Banker,"Analytical Skills, Knowledge of Financial Accounting",3 years,Financial Planning
Commerce,B.Com,Auditor,"Financial Analysis, Risk Management",4 years,Law
Commerce,BBA,Tax Consultant,"Analytical Skills, Knowledge of Financial Accounting",2 years,M.Com
Commerce,Company Secretary,Investment Banker,"Mathematical Proficiency, Expertise in Taxation",3 years,PGDM
Commerce,CA,Accountant,"Financial Analysis, Risk Management",5 years,M.Com
Commerce,Company Secretary,Investment Banker,"Understanding of Corporate Law, Auditing Skills",2 years,MBA
Commerce,Accountancy,Financial Analyst,"Understanding of Corporate Law, Auditing Skills",5 years,Financial Planning
Commerce,Economics,Auditor,"Mathematical Proficiency, Expertise in Taxation",3 years,CA
Commerce,Accountancy,Investment Banker,"Mathematical Proficiency, Expertise in Taxation",3 years,M.Com
Commerce,B.Com,Financial Analyst,"Business Acumen, Decision Making",3 years,M.Com
Commerce,B.Com,Accountant,"Financial Analysis, Risk Management",5 years,M.Com
Commerce,Economics,Investment Banker,"Mathematical Proficiency, Expertise in Taxation",5 years,Company Secretary (CS)
Commerce,Accountancy,Investment Banker,"Analytical Skills, Knowledge of Financial Accounting",5 years,CFA
Commerce,Company Secretary,Auditor,"Analytical Skills, Knowledge of Financial Accounting",2 years,CA
Commerce,Accountancy,Banking Officer,"Financial Analysis, Risk Management",4 years,PGDM
Commerce,B.Com,Accountant,"Business Acumen, Decision Making",3 years,Company Secretary (CS)
Commerce,Finance,Auditor,"Mathematical Proficiency, Expertise in Taxation",2 years,Financial Planning
Commerce,Company Secretary,Accountant,"Mathematical Proficiency, Expertise in Taxation",5 years,PGDM
Commerce,BBA,Tax Consultant,"Understanding of Corporate Law, Auditing Skills",5 years,Financial Planning
Commerce,Accountancy,Banking Officer,"Financial Analysis, Risk Management",3 years,Law
Commerce,Business Management,Auditor,"Business Acumen, Decision Making",5 years,Financial Planning
Commerce,Business Management,Banking Officer,"Financial Analysis, Risk Management",4 years,Company Secretary (CS)
