Stream,Course,Job,Skills Required,Duration,Post Graduation
Science,B.Tech,Researcher,"Research, Scientific Knowledge",5 years,MS
Science,Biotechnology,Researcher,"Research, Scientific Knowledge",5 years,Medical Specialization
Science,B.Sc,Engineer,"Problem-Solving, Analytical Thinking",4 years,Biotechnology PG
Science,MBBS,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,MCA
Science,MBBS,Researcher,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,Microbiology,Engineer,"Problem-Solving, Analytical Thinking",2 years,MCA
Science,Engineering,Lab Technician,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,Nursing,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,MCA
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,M.Tech
Science,Engineering,Lab Technician,"Research, Scientific Knowledge",3 years,MD
Science,B.Sc,Engineer,"Hands-on Medical Skills, Patient Care Expertise",2 years,MS
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,Medical Specialization
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",2 years,MS
Science,Biotechnology,Lab Technician,"Data Analysis, Laboratory Techniques",2 years,MS
Science,Biotechnology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,Microbiology,Engineer,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,B.Tech,Pharmacist,"Data Analysis, Laboratory Techniques",5 years,MS
Science,MBBS,Researcher,"Data Analysis, Laboratory Techniques",2 years,MS
Science,B.Pharm,Doctor,"Innovation, Creativity in Solutions",3 years,M.Pharm
Science,Biotechnology,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,M.Pharm
Science,Biotechnology,Researcher,"Data Analysis, Laboratory Techniques",5 years,Medical Specialization
Science,B.Pharm,Lab Technician,"Research, Scientific Knowledge",2 years,MS
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Nursing,Pharmacist,"Innovation, Creativity in Solutions",4 years,MS
Science,B.Tech,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,Biotechnology PG
Science,Engineering,Doctor,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,B.Sc,Researcher,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,MBBS,Engineer,"Research, Scientific Knowledge",2 years,MS
Science,B.Pharm,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,B.Pharm,Researcher,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
