Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Senior Resident,Ministry of Rural Development,M.Tech,29-39,0 years,Bangalore,40292-65513 INR,26-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
IFS Officer,Ministry of Rural Development,12th Pass,26-36,4 years,Hyderabad,43088-83393 INR,27-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Assistant Commandant,Ministry of Environment,Diploma,26-38,0 years,Hyderabad,43948-67854 INR,02-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Data Entry Operator,Ministry of Science and Technology,Bachelor's Degree,23-36,1 years,Lucknow,31846-66777 INR,11-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Audit Officer,Ministry of Science and Technology,Bachelor's Degree,29-39,1 years,Ahmedabad,42879-70076 INR,16-09-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Data Entry Operator,Ministry of Education,12th Pass,27-36,1 years,Jaipur,44313-81405 INR,14-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Electrician,Ministry of Home Affairs,MBBS,25-37,1 years,Patna,38237-79867 INR,22-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Fireman,Ministry of Home Affairs,Bachelor's Degree,24-38,2 years,Ahmedabad,34430-65631 INR,25-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Librarian,Ministry of Home Affairs,B.Sc,21-35,0 years,Jaipur,44088-79041 INR,15-09-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Fireman,Ministry of Health,M.Sc,23-40,5 years,Chennai,43496-67887 INR,12-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Driver,Ministry of Agriculture,10th Pass,28-40,0 years,Jaipur,36125-83775 INR,17-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Senior Resident,Ministry of Railways,12th Pass,21-39,2 years,Bhopal,33428-75586 INR,20-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Assistant Engineer,Ministry of Defense,MBBS,23-39,3 years,Patna,38116-64568 INR,15-10-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Mechanic,Ministry of Home Affairs,MBBS,26-35,1 years,Jaipur,46173-88801 INR,25-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Assistant Engineer,Ministry of Agriculture,B.Tech,23-35,4 years,Chennai,36086-85173 INR,10-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Postman,Ministry of Education,B.Com,24-35,2 years,Lucknow,43422-70253 INR,15-11-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
IAS Officer,Ministry of Defense,Diploma,29-38,5 years,New Delhi,31465-86364 INR,25-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
Village Development Officer,Ministry of Railways,M.Sc,21-36,5 years,New Delhi,31011-86407 INR,17-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Nurse,Ministry of Rural Development,M.Sc,22-37,4 years,Lucknow,40633-76647 INR,20-11-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Forest Officer,Ministry of Agriculture,Diploma,21-36,5 years,Jaipur,48529-64642 INR,02-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Driver,Ministry of Home Affairs,M.Tech,24-36,1 years,Hyderabad,30420-73028 INR,05-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Junior Assistant,Ministry of Defense,B.Tech,23-38,5 years,Guwahati,42260-76842 INR,04-10-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Forest Officer,Ministry of Agriculture,B.Com,25-39,2 years,Kolkata,45913-79725 INR,06-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Medical Officer,Ministry of Home Affairs,Bachelor's Degree,29-37,1 years,Ranchi,42904-70287 INR,02-10-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Agriculture,12th Pass,26-37,3 years,Hyderabad,33930-63712 INR,07-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Science and Technology,M.Tech,23-40,2 years,Ahmedabad,48953-63127 INR,24-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
SSC CGL Officer,Ministry of Railways,10th Pass,27-36,1 years,Ahmedabad,38515-72432 INR,14-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Veterinary Doctor,Ministry of Environment,12th Pass,28-37,2 years,Mumbai,31765-79603 INR,05-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
IFS Officer,Ministry of Defense,Bachelor's Degree,21-35,5 years,Ranchi,30651-66176 INR,16-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Defense Officer,Ministry of Finance,PhD,23-36,2 years,Pune,48211-89862 INR,30-10-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Assistant Engineer,Ministry of Education,Bachelor's Degree,24-39,1 years,Hyderabad,48304-61034 INR,07-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Translator,Ministry of Education,B.Com,22-35,2 years,Pune,46911-70742 INR,25-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Nurse,Ministry of Agriculture,M.Sc,28-35,0 years,Jaipur,41438-75747 INR,19-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Clerk,Ministry of Home Affairs,MBBS,27-36,3 years,Bangalore,43243-72569 INR,13-09-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Nurse,Ministry of Education,PhD,25-36,4 years,Hyderabad,41613-88547 INR,22-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
IRS Officer,Ministry of Home Affairs,B.Sc,21-36,0 years,Ranchi,37501-80757 INR,21-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Librarian,Ministry of Home Affairs,Master's Degree,26-40,1 years,Patna,44652-75357 INR,14-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Electrician,Ministry of Railways,Bachelor's Degree,25-36,2 years,Chennai,38482-64058 INR,09-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
UPSC NDA,Ministry of Science and Technology,Master's Degree,26-39,4 years,Bangalore,39396-85648 INR,18-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Railway Engineer,Ministry of Railways,12th Pass,24-36,0 years,Jaipur,46991-68362 INR,25-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Railway Engineer,Ministry of Defense,10th Pass,23-37,0 years,Hyderabad,30971-79029 INR,07-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
